customer_id,income,income_volatility,credit_limit,loan_amount,transaction_frequency,missed_payment_count,age,employment_type,average_balance,account_tenure,region,debt_to_income,credit_utilization,loan_amount_outstanding,cluster_id
41,50682.4,0.28,28382,10139.2,38,7,41,self-employed,3303.72,14,east,0.2001,0.3572,5945.35,Medium
42,21915.15,0.4,17532,12624.36,46,12,29,contract,1803.27,7,west,0.5761,0.7201,3952.91,High
43,34173,0.25,17086,7408.17,48,6,59,contract,5021.65,14,north,0.2168,0.4336,4265.34,Medium
44,23939.62,0.38,18194,16274.65,55,17,38,salaried,941.14,8,east,0.6798,0.8945,14454.2,High
45,84394.18,0.16,27006,4091.06,54,2,24,self-employed,46250.33,7,south,0.0485,0.1515,3643.8,Low
46,88603.96,0.14,24809,4334.34,25,5,45,salaried,51696.94,6,east,0.0489,0.1747,3407.02,Low
47,39842.68,0.26,20718,14271.52,42,9,34,salaried,3752.91,9,north,0.3582,0.6888,11627.3,Medium
48,20275.91,0.28,11355,7135.02,58,18,70,salaried,1337.19,13,west,0.3519,0.6284,3622.54,High
49,41821.21,0.13,10874,7304.41,65,8,29,salaried,5098.16,3,east,0.1747,0.6717,6343.01,Medium
50,91983.76,0.28,51511,8166.71,63,0,46,self-employed,27298.89,11,north,0.0888,0.1585,3814.42,Low
51,26958.94,0.17,9166,4717.2,67,5,22,salaried,4847.53,6,south,0.175,0.5146,982.75,Medium
52,42196.79,0.27,22786,10447.13,27,9,40,self-employed,12126.39,4,east,0.2476,0.4585,9381,Medium
53,20141.83,0.34,13696,10409.74,21,14,48,contract,920.69,2,west,0.5168,0.7601,4783.81,High
54,87456.1,0.09,15742,5992.68,32,3,67,salaried,28138.2,1,north,0.0685,0.3807,3600.31,Low
55,96073.59,0.27,51880,18800.22,59,2,27,self-employed,13485.86,12,west,0.1957,0.3624,11778.31,Low
56,55551.94,0.27,29998,14315.54,40,4,64,self-employed,12352.05,12,south,0.2577,0.4772,1177.69,Low
57,84765.35,0.13,22039,8536.59,50,4,28,salaried,11080.99,14,west,0.1007,0.3873,3021.82,Low
58,31190.69,0.42,26200,22081.71,67,16,67,self-employed,2689.67,1,south,0.708,0.8428,7922.76,High
59,65275.79,0.06,7833,1334.35,55,5,55,salaried,9643.81,11,south,0.0204,0.1703,956.36,Low
60,31778.19,0.38,24151,19095.1,67,19,34,salaried,674.27,10,east,0.6009,0.7907,12931.76,High
61,18038.95,0.34,12266,9798.91,57,13,37,salaried,745.29,3,south,0.5432,0.7989,9690.37,High
62,88887.86,0.13,23111,8217.07,46,2,56,salaried,28571.59,4,west,0.0924,0.3555,6007.14,Low
63,33206.4,0.39,25901,19333.08,55,14,70,salaried,2003.2,2,east,0.5822,0.7464,4305.98,High
64,68626.89,0.06,8235,1302.38,67,0,60,salaried,23741.89,13,south,0.019,0.1582,450.28,Low
65,42356.73,0.21,17790,11588.22,42,7,24,salaried,4899.33,12,north,0.2736,0.6514,1935.9,Medium
66,96703.17,0.2,38681,4369.65,40,4,22,contract,24062.62,11,north,0.0452,0.113,3766.67,Low
67,8437.7,0.3,5063,3311.1,32,12,26,contract,505.82,11,south,0.3924,0.654,2800.81,High
68,49869.94,0.19,18951,9143.14,56,5,62,salaried,7770.92,14,east,0.1833,0.4825,8353.06,Medium
69,37586.81,0.27,20297,19394.19,66,11,24,salaried,2829.58,11,east,0.516,0.9555,12795.41,High
70,15194.02,0.25,7597,2590.67,45,9,49,salaried,4651.62,1,east,0.1705,0.341,696.54,Medium
71,55773.79,0.22,24540,14602.77,59,4,38,contract,9425.35,4,west,0.2618,0.5951,13093.99,Medium
72,92374.74,0.06,11085,2378.93,26,2,46,salaried,20548.65,15,north,0.0258,0.2146,648.75,Low
73,79193.07,0.14,22174,2890.84,65,2,64,salaried,28687.58,7,south,0.0365,0.1304,1110.31,Low
74,86147.8,0.05,8615,3945.55,58,5,54,salaried,14414.34,10,south,0.0458,0.458,86.3,Low
75,26719.63,0.35,18704,18497.46,41,17,30,self-employed,1502.57,11,north,0.6923,0.989,10691.56,High
76,71836.48,0.06,8620,1316.6,58,5,56,salaried,19642.88,6,west,0.0183,0.1527,573.47,Low
77,33660.1,0.41,27601,26453.52,42,13,34,salaried,1041.27,6,east,0.7859,0.9584,17139.23,High
78,24956.18,0.4,19965,17154.74,49,8,51,self-employed,1060.87,11,north,0.6874,0.8592,16604.82,High
79,85904.27,0.27,46388,8377.24,37,3,68,self-employed,22260.31,9,south,0.0975,0.1806,479.86,Low
80,65599.07,0.12,15744,5803.41,61,0,35,self-employed,12651.55,14,west,0.0885,0.3686,530.91,Low
81,8655.54,0.42,7271,6722.31,37,15,28,salaried,1250.46,15,south,0.7766,0.9245,3792.18,High
82,62317.45,0.2,24927,7416.32,65,5,34,self-employed,9935.66,2,east,0.119,0.2975,7400.7,Low
83,107437.6,0.09,19339,8968.15,29,2,43,salaried,41159.51,4,north,0.0835,0.4637,2582.79,Low
84,89663.04,0.07,12553,3909.02,58,5,60,salaried,17903.47,5,east,0.0436,0.3114,2096.99,Low
85,21975.71,0.49,21536,14518.93,49,20,41,salaried,1992.5,1,west,0.6607,0.6742,2957.69,High
86,50723.73,0.13,13188,7698.12,45,3,36,salaried,5750.6,8,north,0.1518,0.5837,4077.96,Medium
87,86342.8,0.06,10361,3841.41,26,2,65,salaried,31525.84,8,east,0.0445,0.3708,704.4,Low
88,52986.45,0.13,13776,4906.65,26,2,38,salaried,9435.58,6,east,0.0926,0.3562,869.06,Low
89,92748.25,0.1,18550,8383.44,24,0,67,salaried,53454.07,12,east,0.0904,0.4519,2839.34,Low
90,51378.43,0.14,14386,4476.61,20,2,44,salaried,5267.69,5,west,0.0871,0.3112,4206.31,Low
91,20598.75,0.34,14007,12349.86,65,7,46,self-employed,3937.51,8,east,0.5995,0.8817,8144.05,High
92,35198.69,0.12,8448,5760.39,37,5,45,salaried,10565.39,3,south,0.1637,0.6819,2140.98,Medium
93,47010.7,0.21,19744,7011.2,32,6,65,contract,6060.57,3,north,0.1491,0.3551,4477.87,Medium
94,83164.74,0.12,19960,5081.99,44,5,61,salaried,25204.08,2,north,0.0611,0.2546,1013.85,Low
95,14948.23,0.2,5979,2316.93,59,3,49,salaried,671.75,5,east,0.155,0.3875,1476.97,Medium
96,98451.38,0.08,15752,3615.62,27,3,35,salaried,17283.29,3,west,0.0367,0.2295,3327.28,Low
97,25437.14,0.5,25437,20457.26,29,7,65,self-employed,2328.35,3,south,0.8042,0.8042,19167.27,High
98,54628.52,0.39,42610,27192.17,51,5,21,self-employed,3345.77,15,south,0.4978,0.6382,15947.65,Medium
99,80497.23,0.11,17709,4600.87,36,0,45,contract,20607.42,6,north,0.0572,0.2598,4046.92,Low
100,82640.53,0.11,18181,5875.44,57,0,27,salaried,28917.94,8,north,0.0711,0.3232,2275.61,Low
101,14959.56,0.46,13763,12729.33,34,17,29,salaried,1946.52,2,south,0.8509,0.9249,11272.9,High
102,68331.08,0.2,27332,12880.26,34,1,44,self-employed,6839.54,4,north,0.1885,0.4713,4304.18,Low
103,42849.39,0.4,34280,15078.59,67,10,21,self-employed,8057.91,11,east,0.3519,0.4399,10602.33,Medium
104,51960.19,0.17,17666,6557.3,59,6,64,contract,11040.46,7,south,0.1262,0.3712,6025.58,Medium
105,73239.68,0.09,13183,4388.06,70,5,28,salaried,5946.47,1,north,0.0599,0.3329,2479.3,Low
106,37807.84,0.25,18904,12444.71,39,8,44,self-employed,8607.85,1,east,0.3292,0.6583,3417.12,Medium
107,35965.91,0.29,20860,8331.32,34,7,31,salaried,3315.36,12,east,0.2316,0.3994,5814.71,Medium
108,48584.77,0.14,13604,6798.99,54,4,37,salaried,2986.59,13,south,0.1399,0.4998,766.66,Medium
109,78626.21,0.13,20443,6018.15,25,2,28,salaried,23637.49,10,east,0.0765,0.2944,2080.8,Low
110,18820.48,0.5,18820,18271.15,49,10,55,self-employed,2326.71,7,south,0.9708,0.9708,16368.75,High
111,77096.07,0.14,21587,6102.28,27,3,55,self-employed,26163.37,14,east,0.0792,0.2827,4497.45,Low
112,68707.02,0.09,12367,3889.46,50,3,53,salaried,9777.02,7,south,0.0566,0.3145,212.54,Low
113,65325.18,0.15,19598,3043.6,67,1,25,salaried,17746.36,1,south,0.0466,0.1553,1746.36,Low
114,13813.21,0.36,9946,7790.65,66,7,62,salaried,1104.74,1,south,0.564,0.7833,1933.73,High
115,59616.93,0.06,7154,1693.48,51,5,59,salaried,19648.55,4,south,0.0284,0.2367,22.91,Low
116,44472.65,0.15,13342,5185.56,64,8,61,salaried,2988.65,5,east,0.1166,0.3887,1386.39,Medium
117,24734.96,0.18,8905,4483.39,34,6,48,salaried,2215.41,5,south,0.1813,0.5035,3470.07,Medium
118,19102.15,0.35,13372,12146.52,37,6,27,self-employed,3073.89,4,north,0.6359,0.9084,4887.43,High
119,51470.38,0.15,15441,5723.66,32,5,29,salaried,4456.83,8,east,0.1112,0.3707,1521.65,Medium
120,54819.89,0.14,15350,5474.24,43,4,28,salaried,4007.41,7,south,0.0999,0.3566,5468.34,Medium
121,27591.07,0.38,20969,13623.93,59,11,32,contract,1262.93,9,east,0.4938,0.6497,7860.39,High
122,53159.13,0.2,21264,12869.78,33,3,54,salaried,14114.27,7,east,0.2421,0.6052,2856.61,Medium
123,25137.62,0.48,24132,22086.37,47,9,53,self-employed,1995.71,15,east,0.8786,0.9152,4481.46,High
124,64210.05,0.13,16695,7604.36,30,5,68,salaried,27898.81,10,east,0.1184,0.4555,785.5,Low
125,90287.47,0.16,28892,14031.47,25,3,43,contract,30686.82,1,south,0.1554,0.4857,8583.3,Low
126,28406.87,0.46,26134,19625.69,44,6,44,salaried,1903.16,13,east,0.6909,0.751,17256.97,High
127,21220.33,0.5,21220,15621.67,20,13,57,self-employed,2034.27,14,north,0.7362,0.7362,13433.58,High
128,20643.09,0.41,16927,16869.3,44,17,55,salaried,1230.66,7,east,0.8172,0.9966,15855.34,High
129,44543.45,0.33,29399,10491.24,21,5,64,contract,6820.22,1,east,0.2355,0.3569,242.21,Medium
130,32931.55,0.4,26345,16246.63,51,12,60,salaried,1202.94,7,north,0.4933,0.6167,9119.46,High
131,74361.03,0.09,13385,3400.64,32,0,42,salaried,31164.85,10,south,0.0457,0.2541,3117.98,Low
132,34410.5,0.07,4817,651.36,52,2,47,salaried,3992.19,8,north,0.0189,0.1352,586.42,Low
133,86501.68,0.16,27681,7011.57,51,1,55,contract,43897.6,11,west,0.0811,0.2533,1899.98,Low
134,17234.61,0.36,12409,9488.38,43,20,21,self-employed,1639.28,9,north,0.5505,0.7646,4762.65,High
135,86675.91,0.12,20802,7394.99,46,4,55,salaried,42769.07,12,south,0.0853,0.3555,709.43,Low
136,49066.53,0.12,11776,7038.01,23,9,57,salaried,2824.17,3,north,0.1434,0.5977,1929.78,Medium
137,103078.43,0.12,24739,8884.25,43,2,67,salaried,38391.61,15,east,0.0862,0.3591,8813.02,Low
138,78511.87,0.07,10992,4208.57,42,4,34,salaried,33416.24,4,south,0.0536,0.3829,2462.43,Low
139,49960.01,0.16,15987,7155.7,48,6,23,salaried,6119.71,4,west,0.1432,0.4476,7146.76,Medium
140,46337.39,0.25,23169,11181.61,53,5,21,contract,5300.78,12,south,0.2413,0.4826,185.02,Medium
141,93181.61,0.2,37273,14378.17,40,2,25,self-employed,41210.11,9,east,0.1543,0.3858,13966.33,Low
142,26747.46,0.16,8559,1360.56,49,3,46,contract,8733.72,13,west,0.0509,0.159,481.52,Low
143,69842.36,0.1,13968,5375.15,45,5,34,salaried,16988.18,7,south,0.077,0.3848,445.69,Low
144,42531.34,0.33,28071,19105.71,39,5,59,self-employed,4510.74,3,south,0.4492,0.6806,1711.29,Medium
145,80701.24,0.06,9684,1648.88,35,3,47,salaried,6938.82,10,east,0.0204,0.1703,567.07,Low
146,32860.42,0.12,7887,3610.46,22,4,29,salaried,3746.36,5,north,0.1099,0.4578,1710.21,Medium
147,84445.59,0.06,10133,3369.71,68,0,35,salaried,26607.43,7,north,0.0399,0.3325,287.35,Low
148,53822.5,0.17,18300,10746.87,56,8,35,salaried,4716.41,8,west,0.1997,0.5873,9151.42,Medium
149,69609.46,0.14,19491,3913.99,59,5,46,contract,9480.44,1,east,0.0562,0.2008,1902.17,Low
150,65417.83,0.07,9158,3057.2,63,2,62,salaried,28836.61,12,east,0.0467,0.3338,1115.65,Low
151,85931.64,0.13,22342,10590.6,44,1,33,contract,45362.54,2,north,0.1232,0.474,5523.17,Low
152,46592.5,0.35,32615,14447.82,42,3,52,self-employed,9585.63,7,north,0.3101,0.443,7043.96,Medium
153,47334.96,0.21,19881,10489.64,63,9,59,salaried,8345.83,11,west,0.2216,0.5276,1082.22,Medium
154,14834.27,0.32,9494,8066.42,20,16,69,salaried,2280.51,15,north,0.5438,0.8496,404.34,High
155,44152.62,0.38,33556,32043.27,52,7,52,salaried,3011.85,13,west,0.7257,0.9549,21744.63,High
156,20318.1,0.14,5689,2414.31,34,10,24,salaried,1225.1,14,south,0.1188,0.4244,1177.33,Medium
157,53656.4,0.29,31121,20203.17,36,5,50,self-employed,6610.76,13,west,0.3765,0.6492,495.05,Medium
158,37824.75,0.32,24208,13783.73,53,3,57,contract,5984.9,15,west,0.3644,0.5694,9190.53,Medium
159,75217.85,0.29,43626,25598.64,36,5,43,salaried,17587,2,west,0.3403,0.5868,18064.15,Medium
160,49392.7,0.3,29636,9676.81,60,6,59,contract,9880.02,7,south,0.1959,0.3265,9386.7,Medium
161,96002.56,0.09,17280,4192.42,63,1,65,salaried,15226.54,15,north,0.0437,0.2426,2641.34,Low
162,87468.81,0.07,12246,1802.6,23,2,35,salaried,24717.14,9,west,0.0206,0.1472,495.75,Low
163,20557.05,0.24,9867,5176.49,32,6,63,salaried,4749.79,11,north,0.2518,0.5246,1235.68,Medium
164,46123.65,0.29,26752,16988.9,23,9,49,salaried,2689.24,2,west,0.3683,0.6351,7772.07,Medium
165,85408.76,0.15,25623,6764.34,26,5,56,salaried,18651,7,north,0.0792,0.264,624.82,Low
166,87101.91,0.1,17420,3314.01,65,0,33,salaried,13040.04,4,west,0.038,0.1902,1643.73,Low
167,97745.98,0.1,19549,4336.82,28,5,52,salaried,17183.39,11,north,0.0444,0.2218,1421.82,Low
168,26590.27,0.33,17550,14553.78,42,14,27,salaried,1424.21,13,east,0.5473,0.8293,12077.8,High
169,92070.65,0.12,22097,8993.77,52,5,42,salaried,25632.8,2,south,0.0977,0.407,6250.2,Low
170,37392.19,0.26,19444,11198.66,52,6,48,salaried,7578.83,13,west,0.2995,0.5759,2874.44,Medium
171,12646.69,0.26,6576,6423.89,39,14,22,salaried,681.74,7,south,0.508,0.9769,3073.94,High
172,66144.46,0.13,17198,7800.13,23,3,62,salaried,23230.59,13,west,0.1179,0.4535,5591.7,Low
173,19801.94,0.4,15842,10170.01,20,11,65,contract,3763.47,5,east,0.5136,0.642,1759.78,High
174,18542.73,0.3,11126,9807.3,61,6,26,salaried,1851.36,1,east,0.5289,0.8815,9503.39,High
175,61645.53,0.05,6165,1587.25,53,4,48,salaried,7940.1,5,south,0.0257,0.2575,145.57,Low
176,65636.77,0.29,38069,8925.56,46,4,48,self-employed,13240.18,12,west,0.136,0.2345,8508.43,Low
177,73391.88,0.13,19082,5540.5,40,2,64,salaried,12731.17,12,north,0.0755,0.2904,92.48,Low
178,64695.57,0.18,23290,9467.54,43,5,64,self-employed,30630.7,3,west,0.1463,0.4065,4577.11,Low
179,42971.31,0.29,24923,19108.84,34,11,40,salaried,2998.69,7,north,0.4447,0.7667,5506.39,High
180,59003.75,0.06,7080,3033.3,54,5,50,salaried,16513.63,6,south,0.0514,0.4284,2935.17,Low
181,28079.49,0.36,20217,15946.64,44,14,31,salaried,1831.76,8,south,0.5679,0.7888,13642.86,High
182,71887.55,0.13,18691,2320.51,28,4,48,salaried,22554.31,13,east,0.0323,0.1242,2094.41,Low
183,28757.77,0.5,28758,24505.81,36,19,45,self-employed,3057.9,5,north,0.8521,0.8521,12049.63,High
184,76368.85,0.06,9164,3778.42,40,5,59,salaried,42102.49,2,west,0.0495,0.4123,399.77,Low
185,53507.34,0.34,36385,15514.31,32,6,53,contract,11907.03,9,east,0.2899,0.4264,3834.48,Medium
186,74006.03,0.06,8881,1677.24,22,0,21,salaried,30550.83,14,south,0.0227,0.1889,890.47,Low
187,81309.73,0.12,19514,6948.37,23,5,47,contract,5402.01,11,east,0.0855,0.3561,2702.71,Low
188,46886.83,0.12,11253,2712.61,23,1,33,salaried,11653.92,8,west,0.0579,0.2411,888.84,Low
189,59378.9,0.14,16626,7686.47,62,3,61,salaried,16825.05,6,west,0.1294,0.4623,2327.48,Low
190,56686.65,0.09,10204,4150.24,47,4,23,salaried,10221.95,13,south,0.0732,0.4067,971.85,Low
191,60164.05,0.14,16846,8161.5,26,7,59,salaried,16987.01,10,east,0.1357,0.4845,4390.3,Medium
192,93980.71,0.11,20676,10135.92,45,4,26,contract,30863,7,north,0.1079,0.4902,6975.78,Low
193,46948.67,0.21,19718,8632.58,30,5,28,salaried,3832.02,9,north,0.1839,0.4378,5965.92,Medium
194,55454.8,0.43,47691,22789.08,43,10,47,self-employed,7999.93,7,north,0.4109,0.4778,1018.09,Medium
195,34861.88,0.28,19523,10924.58,62,9,29,salaried,3628.42,3,west,0.3134,0.5596,294.4,Medium
196,35412.82,0.35,24789,19950.51,29,16,57,self-employed,3037.07,6,east,0.5634,0.8048,1740.37,High
197,25678.63,0.31,15921,11745.8,56,15,53,salaried,2292.87,11,north,0.4574,0.7378,208.42,High
198,76425.25,0.2,30570,8165.73,32,1,62,self-employed,15807.52,13,east,0.1068,0.2671,3596.27,Low
199,95222.28,0.14,26662,11877.18,63,3,64,salaried,32951.64,11,south,0.1247,0.4455,637.46,Low
200,54552.57,0.27,29458,11172.94,61,4,44,contract,3963.05,7,north,0.2048,0.3793,4867.28,Medium
201,30805.94,0.26,16019,6840.89,58,6,35,contract,9085,2,east,0.2221,0.427,2304.7,Medium
202,92926.93,0.14,26020,4668.19,38,5,52,contract,25261.97,3,west,0.0502,0.1794,273.6,Low
203,43271.19,0.17,14712,7427.85,70,3,52,salaried,6822.76,4,south,0.1717,0.5049,629.42,Medium
204,84160.41,0.07,11782,1936.47,38,2,44,salaried,41715.51,10,south,0.023,0.1644,1495.12,Low
205,73821.68,0.1,14764,2487.07,31,5,61,salaried,39963.13,6,south,0.0337,0.1685,1801.77,Low
206,34028.25,0.28,19056,12076.12,41,7,69,contract,3188.84,1,south,0.3549,0.6337,3455.36,Medium
207,59703.1,0.16,19105,7283.04,66,3,69,contract,22114.81,9,west,0.122,0.3812,945.9,Low
208,70700.47,0.15,21210,3720.27,56,1,32,salaried,18387.52,5,west,0.0526,0.1754,1325.68,Low
209,86538.3,0.12,20769,5289.17,49,0,59,salaried,12422.32,13,north,0.0611,0.2547,2559.91,Low
210,83823.6,0.1,16765,7825.14,65,1,22,contract,36479.23,12,west,0.0934,0.4668,4048.94,Low
211,83046.66,0.14,23253,10418.38,31,4,23,salaried,23340.15,14,west,0.1255,0.448,256.13,Low
212,91953.74,0.1,18391,6653.8,48,0,69,salaried,33173.25,7,south,0.0724,0.3618,3999,Low
213,79166.25,0.19,30083,6425.53,40,1,57,contract,13757.6,9,west,0.0812,0.2136,4048.96,Low
214,108425.54,0.09,19517,4865.88,30,3,69,contract,32092.01,9,south,0.0449,0.2493,3128.5,Low
215,85658.12,0.14,23984,8665.42,56,5,37,contract,20915.5,1,east,0.1012,0.3613,5427.85,Low
216,65195.92,0.09,11735,3804.36,67,1,69,salaried,33376.17,15,east,0.0584,0.3242,3640.1,Low
217,59924.8,0.06,7191,2331.69,37,2,22,salaried,38297.39,1,east,0.0389,0.3243,1655,Low
218,48325.72,0.24,23196,10887.01,63,9,22,self-employed,7119.96,3,east,0.2253,0.4693,3450.21,Medium
219,42852.16,0.22,18855,6337.02,46,9,48,salaried,8966.81,6,east,0.1479,0.3361,5146.54,Medium
220,33442.32,0.28,18728,6528.94,56,9,43,salaried,1295.71,2,east,0.1952,0.3486,2818.58,Medium
221,43424.29,0.26,22581,14319.26,67,10,57,contract,10581.74,10,east,0.3298,0.6341,865.14,Medium
222,71735.95,0.18,25825,11715.5,31,2,52,contract,35542.01,12,south,0.1633,0.4536,7601.43,Low
223,21893.15,0.44,19266,18446.8,42,6,53,salaried,2363.82,11,south,0.8426,0.9575,7051.44,High
224,100360.02,0.08,16058,4654.15,53,2,21,salaried,8902.66,1,south,0.0464,0.2898,4329.9,Low
225,90768.59,0.07,12708,6026.21,57,1,39,salaried,35845.38,1,south,0.0664,0.4742,2059.61,Low
226,95715.01,0.15,28715,12493.52,42,4,22,salaried,13342.39,13,west,0.1305,0.4351,562.42,Low
227,37018.87,0.43,31836,23993.65,44,8,64,salaried,2083.4,5,west,0.6481,0.7537,22716.87,High
228,25875.12,0.34,17595,12126.58,23,9,46,salaried,1014.25,4,north,0.4687,0.6892,10093.99,High
229,26767,0.39,20878,18611.19,49,7,52,salaried,3370.31,1,west,0.6953,0.8914,18226.83,High
230,84899.09,0.13,22074,8611.55,49,2,26,contract,10075.64,4,south,0.1014,0.3901,1558.78,Low
231,32767.52,0.27,17694,16916.73,32,11,52,salaried,935.83,3,south,0.5163,0.9561,358.9,High
232,95812.35,0.05,9581,1151.51,61,0,24,salaried,32335.01,2,east,0.012,0.1202,1095.2,Low
233,39131.67,0.21,16435,7248.29,68,9,31,self-employed,11090,9,east,0.1852,0.441,5380.57,Medium
234,16995.38,0.37,12577,7721.61,33,18,37,salaried,484.03,14,north,0.4543,0.6139,6617.58,High
235,34248.06,0.18,12329,4736.15,66,7,58,contract,10095.26,15,west,0.1383,0.3841,18.74,Medium
236,80776,0.2,32310,8395.51,27,4,44,self-employed,30719.28,11,south,0.1039,0.2598,5516.11,Low
237,32671.86,0.21,13722,4792.11,43,7,25,contract,1455.41,1,west,0.1467,0.3492,3408.86,Medium
238,85453.22,0.09,15382,6597.56,37,3,54,salaried,49365.33,7,north,0.0772,0.4289,2266.02,Low
239,48092.83,0.1,9619,1742.51,54,2,26,salaried,22459.28,14,east,0.0362,0.1812,824.96,Low
240,63703.97,0.2,25482,11837.29,44,7,42,salaried,4597.31,13,south,0.1858,0.4645,1572.65,Medium
241,59426.95,0.1,11885,4999.68,36,3,31,contract,24163.24,4,east,0.0841,0.4207,400.03,Low
242,70216.95,0.12,16852,2472.02,51,3,68,salaried,32488.79,5,south,0.0352,0.1467,2003.61,Low
243,39223.8,0.27,21181,11603.97,43,7,36,salaried,5753.17,10,east,0.2958,0.5478,9540.55,Medium
244,59639.44,0.35,41748,28230.22,26,8,53,self-employed,14002.68,5,east,0.4733,0.6762,6499.79,Medium
245,79891.42,0.13,20772,5851.79,32,4,29,salaried,22452.23,1,north,0.0732,0.2817,4780.03,Low
246,64008.09,0.17,21763,4266.68,46,3,26,self-employed,34955.98,6,west,0.0667,0.1961,1553.5,Low
247,24495.06,0.37,18126,17714.18,67,17,36,contract,1547.88,13,east,0.7232,0.9773,5118.82,High
248,80671.99,0.08,12908,1570.57,24,0,49,contract,17510.57,9,south,0.0195,0.1217,1244.17,Low
