customer_id,income,income_volatility,credit_limit,loan_amount,transaction_frequency,missed_payment_count,age,employment_type,average_balance,account_tenure,region,debt_to_income,credit_utilization,loan_amount_outstanding
36,3989195.52,0.06,485884,29168.09,31,0,55,salaried,1857163.09,12,west,0.0073,0.06,203.03
37,3625943.37,0.1,709960,37158.77,62,0,28,salaried,1585155.81,10,south,0.0102,0.0523,1887.82
38,2782752.92,0.07,382350,20197.24,60,0,31,salaried,2401187.71,4,south,0.0073,0.0528,402.66
39,2645747.26,0.08,412737,28369.35,30,0,55,salaried,1885854.97,2,north,0.0107,0.0687,646.41
40,4005363.95,0.06,504676,38105.29,46,0,34,salaried,2548287.42,13,west,0.0095,0.0755,6756.75
41,3835626.67,0.09,726468,107374.27,60,0,48,salaried,2239117.79,13,north,0.028,0.1478,14880.11
42,3769336.7,0.09,663403,85797.28,31,0,41,salaried,1956362.54,8,west,0.0228,0.1293,12139.98
43,4603635.01,0.07,647271,84580.05,32,0,42,salaried,1970805.08,12,south,0.0184,0.1307,15495.68
44,4582437.59,0.09,843169,103949.11,28,0,32,salaried,2382850.97,5,west,0.0227,0.1233,3488.07
45,4658541.25,0.07,666171,65532.74,20,0,49,salaried,2505131.02,2,south,0.0141,0.0984,9440.29
46,4717750.83,0.06,585945,51220.36,45,0,33,salaried,3251521.77,6,west,0.0109,0.0874,10914.54
47,2673176.53,0.07,383868,50656.29,20,0,46,salaried,1863898.46,5,south,0.0189,0.132,1777.66
48,4342831.84,0.09,740887,100226.37,49,0,47,salaried,1929748.65,5,south,0.0231,0.1353,14438.68
49,4428078.74,0.09,827165,96512.89,41,0,35,salaried,3209405.47,11,south,0.0218,0.1167,23514.6
50,2528379.45,0.09,453086,42152.27,29,0,50,salaried,2333883.7,12,west,0.0167,0.093,9423.27
51,2915967.9,0.09,523708,34199.82,38,0,27,salaried,3312351.2,2,north,0.0117,0.0653,1247.04
52,3849127.56,0.06,474982,52141.95,20,0,55,salaried,2093157.28,2,east,0.0135,0.1098,12749.86
53,2674371.22,0.1,514549,45534.61,27,0,57,salaried,2156844.89,14,east,0.017,0.0885,9780.99
54,3872790.62,0.07,555358,51121.18,44,0,32,salaried,3265050.8,9,north,0.0132,0.0921,3290.35
55,2548850.25,0.06,283432,38109.42,23,0,43,salaried,2007839.77,1,west,0.015,0.1345,529.89
56,3243360.15,0.06,396339,40843.65,57,0,26,salaried,1909962.87,11,south,0.0126,0.1031,6033.95
57,4238374.93,0.05,427228,56866.49,33,0,49,salaried,2586496.12,15,west,0.0134,0.1331,13209.82
58,2628012.22,0.06,294863,38344.03,66,0,46,salaried,2778924.02,10,west,0.0146,0.13,7212.18
59,3448687.03,0.1,684909,79033.69,28,0,47,salaried,2240921.87,9,south,0.0229,0.1154,17250.49
60,4250426.69,0.07,568707,55321.98,51,0,45,salaried,2357991.61,3,south,0.013,0.0973,11702.48
61,2749712.89,0.07,382210,41060.73,46,0,56,salaried,3006549.29,11,north,0.0149,0.1074,5301.08
62,3898583.06,0.09,683811,58763.21,66,0,48,salaried,1570486.83,1,west,0.0151,0.0859,9774.5
63,4940917.75,0.07,700622,79543.86,51,0,28,salaried,3398803.07,2,west,0.0161,0.1135,90.38
64,3691957.69,0.1,708856,48270.33,64,0,27,salaried,2715345.92,15,east,0.0131,0.0681,5036.48
65,4282151.24,0.09,769931,114398.67,43,0,51,salaried,2447725.7,6,south,0.0267,0.1486,9953.34
66,2581295,0.09,462568,58439.64,31,0,46,salaried,2021527.76,3,east,0.0226,0.1263,11976.42
67,3576906.52,0.09,640982,50415.11,29,0,25,salaried,2518554.4,13,west,0.0141,0.0787,7051.41
68,3661996.1,0.07,533919,73674.71,64,0,31,salaried,2061915.59,14,east,0.0201,0.138,6748.5
69,4031580.49,0.05,420897,49274.72,30,0,47,salaried,1697306.57,1,east,0.0122,0.1171,5640.51
70,4611954.17,0.09,796023,93058.66,57,0,55,salaried,1716687.32,3,north,0.0202,0.1169,3609.85
71,3366888.21,0.09,630955,70225.77,46,0,44,salaried,1729368.72,7,south,0.0209,0.1113,15725.7
72,4715876.06,0.06,539496,35667.25,34,0,30,salaried,2163064.03,11,north,0.0076,0.0661,6343.04
73,3835812.69,0.08,642115,74836.2,40,0,57,salaried,2490845.46,11,north,0.0195,0.1165,7163.55
74,4827200.53,0.08,782972,82107.9,60,0,56,salaried,3072913.84,13,north,0.017,0.1049,14216.72
75,2703113.06,0.06,329239,40007.84,43,0,57,salaried,3430081.25,10,west,0.0148,0.1215,1292.68
76,4153344.33,0.07,563193,76788.8,64,0,57,salaried,2382380.33,8,south,0.0185,0.1363,2983.59
77,4401735.86,0.07,627688,55011.79,68,0,51,salaried,1873681.67,8,east,0.0125,0.0876,9644.79
78,4373505.3,0.1,839713,107420.74,35,0,48,salaried,1959906.6,10,south,0.0246,0.1279,21929
79,3496529.17,0.07,460843,57418.31,46,0,48,salaried,3005527.53,7,east,0.0164,0.1246,4021.38
80,3361115.73,0.06,418123,58991.26,46,0,33,salaried,1866754.51,13,north,0.0176,0.1411,7227.61
81,3750721.44,0.07,521350,76142.08,47,0,30,salaried,1921375.68,14,south,0.0203,0.146,181.55
82,2839401.28,0.08,450897,63839.93,23,0,38,salaried,2457165.45,14,south,0.0225,0.1416,8709.27
83,3895807.5,0.07,570346,46015.42,38,0,36,salaried,1639169.39,3,east,0.0118,0.0807,5130.47
84,3083452.69,0.06,388515,54975.16,49,0,34,salaried,2346213.48,13,east,0.0178,0.1415,12543.79
85,4065308.55,0.08,659393,80842.7,66,0,42,salaried,3216825.63,13,north,0.0199,0.1226,2614.58
86,2853580.57,0.09,513645,69008.02,32,0,28,salaried,2239424.74,6,south,0.0242,0.1343,16930.52
87,3669078.85,0.07,538621,43324.5,52,0,27,salaried,1925089.34,10,north,0.0118,0.0804,4192.03
88,3877035.36,0.06,468346,37508.8,59,0,48,salaried,2652952.78,14,south,0.0097,0.0801,1199.26
89,3911988.68,0.05,409194,40698.86,67,0,30,salaried,3404013.14,14,west,0.0104,0.0995,5675.93
90,2793099.4,0.05,296069,15915.1,28,0,35,salaried,2813151.32,5,east,0.0057,0.0538,3324.43
91,4745368.78,0.06,561852,62838.77,54,0,33,salaried,2471087.93,4,west,0.0132,0.1118,14570.54
92,3659914.23,0.07,483841,58288.19,35,0,34,salaried,2889804.32,2,east,0.0159,0.1205,8754.3
93,3937694.13,0.09,679646,95345.84,42,0,39,salaried,1626676.52,14,south,0.0242,0.1403,1707.45
94,2978508.66,0.07,434267,57222.01,20,0,27,salaried,2516563.09,7,west,0.0192,0.1318,6786.61
95,3708166.76,0.08,576991,69289.42,56,0,56,salaried,2580247.88,15,north,0.0187,0.1201,16837.28
96,2931101.95,0.07,418561,51573.07,21,0,37,salaried,3019009.63,14,west,0.0176,0.1232,967.9
97,3283583.01,0.1,651463,72914.73,39,0,45,salaried,1859533.29,1,east,0.0222,0.1119,15628.67
98,2744739.18,0.05,278866,26370.37,45,0,41,salaried,1723205.62,9,east,0.0096,0.0946,3662.59
99,3033203.49,0.07,409482,37225.08,54,0,27,salaried,2514893.63,6,south,0.0123,0.0909,7602.58
100,3590109.5,0.09,640476,80151,43,0,37,salaried,2147007.19,1,west,0.0223,0.1251,12631.47
101,4050866.81,0.07,529043,47040.99,62,0,25,salaried,3068988.77,7,west,0.0116,0.0889,11619.04
102,4448320.88,0.08,722407,42821.14,26,0,50,salaried,3028393.97,8,east,0.0096,0.0593,5136.72
103,3512489.54,0.09,661753,76760.23,33,0,29,salaried,2247909.58,10,west,0.0219,0.116,3471.62
104,3972529.42,0.08,661029,71532.26,33,0,32,salaried,3100377.22,2,east,0.018,0.1082,8082.71
105,3257339.48,0.1,639090,73194.76,39,0,59,salaried,2891719.83,5,south,0.0225,0.1145,11079.95
106,4487572.86,0.05,478375,24009.19,20,0,29,salaried,2532125.02,11,north,0.0054,0.0502,1477.34
107,4363617.88,0.05,454689,51541.05,41,0,54,salaried,1907249.14,6,west,0.0118,0.1134,5241.16
108,4474683.02,0.1,863614,67398,39,0,28,salaried,1639565.71,9,south,0.0151,0.078,11595.06
109,2605722.24,0.08,415352,49323.79,49,0,35,salaried,2000962.57,4,east,0.0189,0.1188,4047.55
110,4243527.79,0.08,671326,98612.56,49,0,54,salaried,2554788.43,6,west,0.0232,0.1469,1245.79
111,4951411.33,0.1,950671,98964.42,34,0,34,salaried,1996000.58,8,north,0.02,0.1041,6327.49
112,4057408.53,0.08,658112,42376.64,41,0,35,salaried,2722720.68,9,east,0.0104,0.0644,4122.18
113,3975425.7,0.08,613806,62084.82,45,0,35,salaried,2842479.29,8,west,0.0156,0.1011,5109.68
114,3718201.46,0.07,507163,32599.68,62,0,56,salaried,3423789.24,3,east,0.0088,0.0643,2489.05
115,2612733.38,0.1,497464,49756.99,23,0,48,salaried,3429403.76,9,north,0.019,0.1,4886.55
116,3360284.59,0.06,436837,43842.65,51,0,35,salaried,3189405.43,15,east,0.013,0.1004,6877.35
117,3943602.16,0.08,632554,82659.21,24,0,30,salaried,2608918.99,1,west,0.021,0.1307,9965.23
118,4625055.25,0.1,878760,88176.5,33,0,53,salaried,3318582.98,8,north,0.0191,0.1003,1575.78
119,4964363.03,0.07,727776,41216.01,42,0,37,salaried,2770849.76,5,south,0.0083,0.0566,7537
120,2534228.74,0.08,419161,23577.7,61,0,29,salaried,1610765.99,8,east,0.0093,0.0562,5004.26
121,2978462.4,0.05,325248,24309.55,37,0,28,salaried,2515922.13,2,north,0.0082,0.0747,2826.62
122,2672723.79,0.05,285981,36756.89,45,0,56,salaried,2365042.44,5,east,0.0138,0.1285,1760.55
123,2819356.45,0.08,425723,48472.01,49,0,37,salaried,2959625.87,7,east,0.0172,0.1139,8336.63
124,3515692.45,0.08,529463,35400.2,58,0,55,salaried,2656831.57,8,south,0.0101,0.0669,7348.21
125,3845975.79,0.09,707660,64694.85,40,0,37,salaried,1774174.45,12,north,0.0168,0.0914,10480.78
126,4480546.52,0.08,758108,96777.64,48,0,52,salaried,3458591.28,14,west,0.0216,0.1277,11404.38
127,3724488.32,0.08,611561,77636.19,62,0,28,salaried,3067087.07,2,north,0.0208,0.1269,692.68
128,2896390.74,0.07,419397,36071.93,42,0,48,salaried,2289721.54,6,east,0.0125,0.086,1899.06
129,3689419.33,0.05,371156,19913.72,67,0,29,salaried,1577342.08,1,east,0.0054,0.0537,837.01
130,3657439.59,0.07,508384,69815.71,40,0,31,salaried,2669135.3,7,east,0.0191,0.1373,17135.89
131,4031061.9,0.08,655451,36968.83,42,0,31,salaried,2027152,2,south,0.0092,0.0564,1038.53
132,2528442.55,0.05,258913,26929.08,21,0,40,salaried,1975209.91,5,east,0.0107,0.104,4192.52
133,3475613.15,0.06,401086,34638.51,47,0,47,salaried,2281434.57,2,west,0.01,0.0864,3540.46
134,3264963.3,0.07,455136,23175.7,43,0,36,salaried,2745895.68,4,south,0.0071,0.0509,1919.04
135,4518598.85,0.09,844978,56909.92,41,0,56,salaried,2981880.17,9,south,0.0126,0.0674,4594.54
136,2657810.74,0.08,435349,58158.89,51,0,31,salaried,2420985.36,13,north,0.0219,0.1336,2221.09
137,4326016.25,0.05,436062,30120.5,47,0,47,salaried,2229171.74,14,south,0.007,0.0691,1798.5
138,2755422.87,0.09,515264,26469.55,68,0,40,salaried,1574466.47,14,west,0.0096,0.0514,6131.41
139,2690070.37,0.08,439019,27716.88,40,0,50,salaried,1885015.9,6,south,0.0103,0.0631,57.69
140,3804184.39,0.07,521173,76004.2,42,0,36,salaried,2400716.08,10,south,0.02,0.1458,12195.04
141,4556482.79,0.1,880312,64025.1,61,0,28,salaried,3185883.16,9,south,0.0141,0.0727,15938.97
142,4706913.73,0.06,520585,27201.65,44,0,37,salaried,2051149.28,12,north,0.0058,0.0523,6756.98
143,4156859.65,0.08,636000,71978.1,32,0,38,salaried,2757457.34,4,east,0.0173,0.1132,17496.83
144,3147763.56,0.09,571634,71334.23,46,0,53,salaried,2360360.59,10,north,0.0227,0.1248,1806.26
145,3691903.81,0.06,428999,32376.46,45,0,54,salaried,2856818.46,14,south,0.0088,0.0755,1283.67
146,4253621.98,0.1,814994,56626.62,40,0,40,salaried,2063815.51,12,south,0.0133,0.0695,3831.68
147,4677738.86,0.06,572555,49369.31,47,0,55,salaried,1681198.05,14,west,0.0106,0.0862,809.89
148,4479183.31,0.08,739065,42620.64,49,0,40,salaried,1577458.53,3,west,0.0095,0.0577,2182.2
149,2981369.45,0.09,547976,28838.32,69,0,46,salaried,2325567.03,8,east,0.0097,0.0526,6009.23
150,2545559.27,0.09,481111,26808.25,23,0,30,salaried,2318270.92,6,west,0.0105,0.0557,2147.76
151,4919168.07,0.05,534222,31364.45,66,0,55,salaried,2579071.21,12,south,0.0064,0.0587,4388.61
152,2823569.63,0.1,546643,35348.91,44,0,49,salaried,2277897.19,10,south,0.0125,0.0647,7394.51
153,4267890.41,0.06,495075,32174.48,39,0,49,salaried,2032012.68,15,east,0.0075,0.065,2448.55
154,2549847.86,0.08,406956,31095.08,51,0,31,salaried,2510645.81,11,north,0.0122,0.0764,5693.23
155,3637525.95,0.1,696950,101939.65,25,0,44,salaried,3144083.83,9,east,0.028,0.1463,20092.01
156,4143438.87,0.05,451635,46247.38,57,0,37,salaried,3000004.63,14,north,0.0112,0.1024,9716.94
157,3474419.01,0.08,560076,73077.65,24,0,51,salaried,2796682.69,5,north,0.021,0.1305,3527.99
158,3995678.31,0.09,692051,53798.01,41,0,47,salaried,1518191.21,7,west,0.0135,0.0777,12502.93
159,3299636.34,0.06,391997,45219.76,30,0,29,salaried,3416795.44,15,west,0.0137,0.1154,4528.87
160,3505418.95,0.06,394009,23744.07,35,0,36,salaried,1613284.02,13,south,0.0068,0.0603,1185.6
161,4026433.22,0.08,671609,78436.87,44,0,50,salaried,2775548.94,7,north,0.0195,0.1168,10849.81
162,3804201.2,0.09,699973,61986.54,20,0,31,salaried,3021522.85,5,east,0.0163,0.0886,4606.99
163,3190415.05,0.06,373917,19536.15,65,0,48,salaried,2415419.69,5,north,0.0061,0.0522,2534.39
164,4076042.86,0.06,483419,29924.07,58,0,51,salaried,3240270.59,4,east,0.0073,0.0619,2804.14
165,3067421.63,0.08,510419,45534.51,68,0,48,salaried,3034755.83,4,south,0.0148,0.0892,7461.48
166,3401706.29,0.08,539511,46992.79,23,0,50,salaried,2186150.66,13,south,0.0138,0.0871,10892.4
167,4717198.28,0.1,914193,116071.77,28,0,58,salaried,3340086.74,1,south,0.0246,0.127,23637.72
168,2595261.8,0.08,415242,52725.19,44,0,54,salaried,2365671.1,8,west,0.0203,0.127,11125.88
169,4664033.2,0.06,562482,49669.34,63,0,30,salaried,2420948.07,5,south,0.0106,0.0883,9228.26
170,3086473.45,0.08,491984,41479.65,35,0,44,salaried,3063407.66,5,west,0.0134,0.0843,7742.6
171,2883282.79,0.08,469975,69843.41,35,0,42,salaried,3021430.39,2,south,0.0242,0.1486,2398.37
172,3853836.15,0.05,388467,23625.08,62,0,45,salaried,2306165.51,3,west,0.0061,0.0608,5645.72
173,3267263.8,0.07,428665,47896.59,20,0,56,salaried,1566056.01,11,north,0.0147,0.1117,8333.94
174,4079819.29,0.06,530377,51374.72,68,0,52,salaried,3410909.04,7,north,0.0126,0.0969,6332.67
175,4008743.45,0.08,614941,79255.03,29,0,53,salaried,3151311.9,12,north,0.0198,0.1289,6228.68
176,3222843.46,0.08,483427,25587.84,36,0,46,salaried,2715762.44,4,west,0.0079,0.0529,3672.77
177,4904064.47,0.08,738552,55684.73,36,0,59,salaried,2731388.4,4,east,0.0114,0.0754,3189.95
178,3201556.43,0.06,396353,53717.75,65,0,55,salaried,1596473.54,1,north,0.0168,0.1355,417.69
179,4638727.51,0.06,510260,62866.15,61,0,50,salaried,3284659.71,8,west,0.0136,0.1232,6393.88
180,3641690.13,0.07,492357,50989.21,37,0,34,salaried,2266054.67,11,south,0.014,0.1036,2097.15
181,4823004.06,0.06,572008,70994.86,37,0,56,salaried,2867841.83,10,north,0.0147,0.1241,15183.38
182,4578572.79,0.06,576900,35853.73,61,0,28,salaried,1847207.56,5,east,0.0078,0.0621,4139.21
183,3115301.21,0.06,358260,32619,34,0,43,salaried,3373742.81,15,west,0.0105,0.091,5942.91
184,4308079.81,0.09,771146,73708.91,60,0,46,salaried,2309803.61,2,west,0.0171,0.0956,11257.11
185,4359976.93,0.08,657485,47630.49,61,0,57,salaried,2591541.32,11,north,0.0109,0.0724,10335.87
186,4438939.67,0.09,809663,100291.42,53,0,41,salaried,2952771.64,1,north,0.0226,0.1239,14547.78
187,4387508.41,0.05,455423,42803.82,57,0,42,salaried,2168860.18,12,north,0.0098,0.094,4502.97
188,4985101.35,0.09,907288,130399.97,31,0,38,salaried,2539204.43,7,west,0.0262,0.1437,20473.57
189,3381657.7,0.07,444350,33427.78,48,0,46,salaried,2676615.34,9,east,0.0099,0.0752,91.63
190,3245305.98,0.08,495883,29013.49,27,0,48,salaried,2746885.09,5,east,0.0089,0.0585,474.09
191,3169051.35,0.09,600218,31250.52,22,0,56,salaried,1617343.82,13,north,0.0099,0.0521,2561.41
192,4395043.67,0.06,557292,48780.64,41,0,47,salaried,3303828.49,5,north,0.0111,0.0875,11451.78
193,4550326.8,0.08,708031,36701.84,35,0,47,salaried,1582708.42,1,west,0.0081,0.0518,8632.48
194,3580416.51,0.09,654500,43826.85,27,0,52,salaried,3156891.07,7,east,0.0122,0.067,6787.34
195,4859449.61,0.09,864982,94860.52,46,0,33,salaried,3073398.23,5,south,0.0195,0.1097,18616.81
196,4979423.31,0.08,809654,57040.06,64,0,47,salaried,2831999.02,9,east,0.0115,0.0704,2649.29
197,3681648.56,0.1,700986,57437.06,32,0,59,salaried,1972371.17,13,west,0.0156,0.0819,2159.51
198,3068611.09,0.09,562170,62533.45,29,0,32,salaried,2538800.65,7,west,0.0204,0.1112,12665.53
199,4320316.11,0.06,558185,60893.2,64,0,57,salaried,2535527.44,15,north,0.0141,0.1091,2564.52
200,2739505.6,0.06,344082,50856.13,21,0,40,salaried,2182300.54,7,north,0.0186,0.1478,1340.69
201,3290211.3,0.05,356659,45259.13,49,0,38,salaried,2639231.73,7,east,0.0138,0.1269,8652.64
202,4886103.54,0.09,891225,76350.06,48,0,45,salaried,1741122.63,8,west,0.0156,0.0857,1728.43
203,4174427.14,0.07,601952,68227.5,43,0,40,salaried,3306155.62,3,west,0.0163,0.1133,3075.22
204,3272703.55,0.08,515778,29218.55,41,0,33,salaried,2753490.1,11,east,0.0089,0.0566,5935.1
205,3810000.42,0.09,694182,76249.66,21,0,56,salaried,2409881.44,2,north,0.02,0.1098,770.26
206,2892793.47,0.1,569302,69900.93,63,0,43,salaried,1512727.48,10,west,0.0242,0.1228,16836.4
207,4885244.02,0.06,561803,65467.05,23,0,54,salaried,2082485.81,1,west,0.0134,0.1165,13381.69
208,3509938.75,0.06,405749,21672.04,28,0,35,salaried,3357246.29,7,north,0.0062,0.0534,921.55
209,3858181.8,0.08,646631,72619.69,64,0,58,salaried,2260214.64,4,west,0.0188,0.1123,15468.89
210,4285695.89,0.06,538283,30043.05,38,0,37,salaried,1862913.22,1,west,0.007,0.0558,3868.2
211,2588863.78,0.08,430269,40957.4,43,0,41,salaried,1535438.76,3,north,0.0158,0.0952,6318.3
212,4571257.54,0.06,587864,66772.7,52,0,41,salaried,3342901.96,10,south,0.0146,0.1136,15990.12
213,3969718.91,0.08,672470,37903,48,0,50,salaried,3202113.5,11,west,0.0095,0.0564,7946.24
214,4891627.5,0.08,814945,60134.02,67,0,46,salaried,3126882.73,15,south,0.0123,0.0738,5979.72
215,4777939.3,0.05,477794,50512.24,67,0,49,salaried,2247784.74,12,north,0.0106,0.1057,4856.96
216,4616860.89,0.08,757165,102096.64,33,0,30,salaried,3083701.21,10,west,0.0221,0.1348,21530.94
217,3053720.86,0.08,483099,69350.96,58,0,48,salaried,2721948.65,12,north,0.0227,0.1436,2447.86
218,2718027.66,0.07,377806,42886.7,55,0,58,salaried,1721547.46,8,south,0.0158,0.1135,4826.77
219,3599710.37,0.09,645788,81401.52,32,0,46,salaried,2090568.49,3,south,0.0226,0.126,11491.8
220,4324728.1,0.1,827753,78673.58,27,0,29,salaried,2790688.73,8,west,0.0182,0.095,2739.69
221,3762745.03,0.05,400356,56518.51,61,0,45,salaried,3038209.74,8,north,0.015,0.1412,12710.01
222,4147701.52,0.1,805484,62806.75,57,0,53,salaried,2481731.71,5,north,0.0151,0.078,11930.41
223,2987419.55,0.07,406289,59933.1,39,0,33,salaried,1908793.85,4,west,0.0201,0.1475,943.05
224,4388311.19,0.07,573991,62563.61,34,0,34,salaried,2814317.57,13,east,0.0143,0.109,12571.97
225,3948828.11,0.09,691045,41164.97,55,0,29,salaried,3022548.33,12,north,0.0104,0.0596,2573.38
226,3396786.44,0.06,386554,52618.36,32,0,26,salaried,3357357.84,8,south,0.0155,0.1361,836.79
227,3621554.42,0.1,716343,100896.97,43,0,49,salaried,1729413.61,10,east,0.0279,0.1409,1788.93
228,3557609.59,0.09,624716,44140.82,31,0,43,salaried,3064484.15,15,east,0.0124,0.0707,1210.86
229,2747541.76,0.07,359378,39845.64,51,0,40,salaried,1589524.84,15,west,0.0145,0.1109,8496.15
230,3031073.91,0.07,418894,45059.53,38,0,43,salaried,2064486.52,9,south,0.0149,0.1076,7829.87
231,4674477.73,0.1,915263,115664.63,53,0,58,salaried,2349541.74,12,east,0.0247,0.1264,3810.23
232,4834570.31,0.08,785134,114664.03,36,0,38,salaried,2167894.36,6,north,0.0237,0.146,3605.79
233,4946494.69,0.07,656894,54926.89,51,0,53,salaried,3168963.59,14,south,0.0111,0.0836,820.99
234,4245267.28,0.09,768393,62363.38,51,0,48,salaried,1525240.73,12,east,0.0147,0.0812,1892.98
235,4781238.73,0.06,532630,60989.36,42,0,33,salaried,3157979.93,7,south,0.0128,0.1145,6133.37
236,3163757.98,0.09,563149,49277.46,47,0,56,salaried,2550306.67,11,west,0.0156,0.0875,2104.4
237,3062954.42,0.07,400022,38225.77,29,0,33,salaried,2651770.89,14,west,0.0125,0.0956,8145.41
238,3736855.72,0.1,720466,36193.89,58,0,32,salaried,2860276.68,6,west,0.0097,0.0502,5011.63
239,4847926.77,0.08,819300,77552.76,56,0,47,salaried,3286000.97,6,south,0.016,0.0947,2018.71
240,4627992.83,0.08,728446,66538.63,35,0,35,salaried,3018294.94,4,north,0.0144,0.0913,829.84
241,4845848.68,0.09,889698,51160.88,41,0,31,salaried,3442455.27,3,west,0.0106,0.0575,2939.91
242,4901508.99,0.09,837178,43262.71,68,0,50,salaried,1961250.21,11,east,0.0088,0.0517,8752.69
243,2798594.39,0.09,527255,55465.33,26,0,51,salaried,2489513.75,2,south,0.0198,0.1052,2277.39
244,4787733.66,0.07,666453,36516.35,47,0,54,salaried,3412776.24,13,east,0.0076,0.0548,8052.82
245,2550557.46,0.08,416761,49982.19,47,0,38,salaried,3434341.38,5,north,0.0196,0.1199,5230.8
246,3487016.59,0.05,382874,27765.44,54,0,33,salaried,3311565.73,11,south,0.008,0.0725,5030.21
247,2734134.29,0.1,532609,43517.95,42,0,47,salaried,1797353.84,9,east,0.0159,0.0817,2344.55
248,3489785.31,0.09,631651,66912.2,55,0,46,salaried,1818546.63,15,west,0.0192,0.1059,7895.48
249,4406243.83,0.08,675918,52532.93,25,0,41,salaried,2717553.8,4,east,0.0119,0.0777,7166.82
250,4583669.81,0.09,864480,82458.48,27,0,58,salaried,1616969.58,6,west,0.018,0.0954,600.63
251,3764048.72,0.06,420821,27684.2,47,0,51,salaried,2789101.64,13,south,0.0074,0.0658,3969.93
252,4050623.25,0.08,643239,64553.86,27,0,50,salaried,2835069.92,11,north,0.0159,0.1004,11654.44
253,2938110.09,0.07,414861,48761.96,21,0,38,salaried,2049897.53,7,north,0.0166,0.1175,1496.08
